hour symbol vwap
"2019-01-30 13:00:00+00:00" MCK 125.94
"2019-01-30 13:00:00+00:00" TIS 1.18
"2019-01-30 13:00:00+00:00" AUO 3.99
"2019-01-30 13:00:00+00:00" MO 46.27
"2019-01-30 13:00:00+00:00" XLI 71.01
"2019-01-30 13:00:00+00:00" EKSO 2.17
"2019-01-30 13:00:00+00:00" RGS 18.21
"2019-01-30 13:00:00+00:00" LMT 295.63
"2019-01-30 13:00:00+00:00" LABD 28.49
"2019-01-30 13:00:00+00:00" GD 181.75
"2019-01-30 13:00:00+00:00" ENVA 21.99
"2019-01-30 13:00:00+00:00" CARS 26.86
"2019-01-30 13:00:00+00:00" RMD 92.93
"2019-01-30 13:00:00+00:00" GDEN 18.1
"2019-01-30 13:00:00+00:00" HUYA 20.31
"2019-01-30 13:00:00+00:00" EXAS 85.94
"2019-01-30 13:00:00+00:00" FSS 19.4
"2019-01-30 13:00:00+00:00" TWTR 32.0
"2019-01-30 13:00:00+00:00" BILI 18.06
"2019-01-30 13:00:00+00:00" RWLK 0.29
"2019-01-30 13:00:00+00:00" HXL 67.94
"2019-01-30 13:00:00+00:00" DIA 247.95
"2019-01-30 13:00:00+00:00" ERJ 21.15
"2019-01-30 13:00:00+00:00" V 136.05
"2019-01-30 13:00:00+00:00" RYAAY 70.97
"2019-01-30 13:00:00+00:00" TAHO 3.69
"2019-01-30 13:00:00+00:00" BAK 28.01
"2019-01-30 13:00:00+00:00" TSS 86.52
"2019-01-30 13:00:00+00:00" TLRY 78.43
"2019-01-30 13:00:00+00:00" CFFN 13.12
"2019-01-30 13:00:00+00:00" MMM 197.59
"2019-01-30 13:00:00+00:00" DWT 9.35
"2019-01-30 13:00:00+00:00" ETN 70.64
"2019-01-30 13:00:00+00:00" AMAT 38.68
"2019-01-30 13:00:00+00:00" EDC 77.44
"2019-01-30 13:00:00+00:00" OFG 19.32
"2019-01-30 13:00:00+00:00" COLM 88.24
"2019-01-30 13:00:00+00:00" VEEV 106.17
"2019-01-30 13:00:00+00:00" CNI 83.33
"2019-01-30 13:00:00+00:00" BP 40.45
"2019-01-30 13:00:00+00:00" STAF 2.57
"2019-01-30 13:00:00+00:00" INFY 10.46
"2019-01-30 13:00:00+00:00" RIG 8.57
"2019-01-30 13:00:00+00:00" KNL 19.14
"2019-01-30 13:00:00+00:00" DQ 34.06
"2019-01-30 13:00:00+00:00" PFSI 18.98
"2019-01-30 13:00:00+00:00" CIEN 38.51
"2019-01-30 13:00:00+00:00" UTX 118.81
"2019-01-30 13:00:00+00:00" YEXT 14.69
"2019-01-30 13:00:00+00:00" PACB 7.11
"2019-01-30 13:00:00+00:00" ILMN 277.0
"2019-01-30 13:00:00+00:00" SIMO 35.9
"2019-01-30 13:00:00+00:00" ALT 3.14
"2019-01-30 13:00:00+00:00" TGTX 4.43
"2019-01-30 13:00:00+00:00" NUGT 19.18
"2019-01-30 13:00:00+00:00" WFC 50.06
"2019-01-30 13:00:00+00:00" YINN 21.48
"2019-01-30 13:00:00+00:00" AWSM 2.74
"2019-01-30 13:00:00+00:00" GPOR 8.46
"2019-01-30 13:00:00+00:00" ATTU 24.72
"2019-01-30 13:00:00+00:00" TBLT 2.75
"2019-01-30 13:00:00+00:00" HMNY 0.01
"2019-01-30 13:00:00+00:00" EGHT 17.65
"2019-01-30 13:00:00+00:00" RBZ 1.31
"2019-01-30 13:00:00+00:00" PG 93.3
"2019-01-30 13:00:00+00:00" BAC 29.45
"2019-01-30 13:00:00+00:00" SKT 22.89
"2019-01-30 13:00:00+00:00" SBUX 66.92
"2019-01-30 13:00:00+00:00" ARLO 7.12
"2019-01-30 13:00:00+00:00" HFC 54.16
"2019-01-30 13:00:00+00:00" OHI 39.52
"2019-01-30 13:00:00+00:00" MTCH 52.14
"2019-01-30 13:00:00+00:00" TLP 40.91
"2019-01-30 13:00:00+00:00" VTR 63.56
"2019-01-30 13:00:00+00:00" CBS 50.36
"2019-01-30 13:00:00+00:00" EWY 64.03
"2019-01-30 13:00:00+00:00" BRK.B 203.94
"2019-01-30 13:00:00+00:00" LPL 8.97
"2019-01-30 13:00:00+00:00" HEAR 14.53
"2019-01-30 14:00:00+00:00" WHR 132.96
"2019-01-30 14:00:00+00:00" DIS 109.68
"2019-01-30 14:00:00+00:00" SPWH 5.3
"2019-01-30 14:00:00+00:00" LLNW 2.91
"2019-01-30 14:00:00+00:00" LPL 8.85
"2019-01-30 14:00:00+00:00" TVTY 22.31
"2019-01-30 14:00:00+00:00" TWTR 32.08
"2019-01-30 14:00:00+00:00" CODX 3.32
"2019-01-30 14:00:00+00:00" VRNT 46.88
"2019-01-30 14:00:00+00:00" AKAO 1.69
"2019-01-30 14:00:00+00:00" MLNX 86.21
"2019-01-30 14:00:00+00:00" ATUS 18.62
"2019-01-30 14:00:00+00:00" BA 385.21
"2019-01-30 14:00:00+00:00" CATM 27.96
"2019-01-30 14:00:00+00:00" GD 166.98
"2019-01-30 14:00:00+00:00" COST 210.21
"2019-01-30 14:00:00+00:00" CR 82.83
"2019-01-30 14:00:00+00:00" ALGN 216.22
"2019-01-30 14:00:00+00:00" DRYS 5.13
"2019-01-30 14:00:00+00:00" EYEN 3.8
"2019-01-30 14:00:00+00:00" BABA 162.0
"2019-01-30 14:00:00+00:00" AAPL 162.21
"2019-01-30 14:00:00+00:00" KLAC 102.98
"2019-01-30 14:00:00+00:00" MOMO 29.6
"2019-01-30 14:00:00+00:00" AMZN 1634.68
"2019-01-30 14:00:00+00:00" OCX 5.28
"2019-01-30 14:00:00+00:00" NVDA 133.88
"2019-01-30 14:00:00+00:00" TSLA 301.79
"2019-01-30 14:00:00+00:00" CCL 57.15
"2019-01-30 14:00:00+00:00" GNTX 21.28
"2019-01-30 14:00:00+00:00" NKTR 42.67
"2019-01-30 14:00:00+00:00" TLRY 79.26
"2019-01-30 14:00:00+00:00" ADP 136.81
"2019-01-30 14:00:00+00:00" WB 58.76
"2019-01-30 14:00:00+00:00" TQQQ 43.47
